scientificName;islandPresence;law;euLaw;
Phoenicurus ochruros;totes (no cria);Listado RD 139/2011;Berna (A2);
Phylloscopus bonelli;migrant;Listado RD 139/2011;Berna (A3);
Phylloscopus collybita;Ma cria, totes;Listado RD 139/2011;Berna (A3);
Phylloscopus sibilatrix;migrant;Listado RD 139/2011;Berna (A3);
Phylloscopus trochilus;totes (no cria);Listado RD 139/2011;Berna (A3);
Platalea leucorodia;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Plectrophenax nivalis;divagant a Ma;Listado RD 139/2011;Berna (A3);
Plegadis falcinellus;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Pluvialis apricaria;totes (no cria);Listado RD 139/2011;Aus (A1, A2,2);
Pluvialis squatarola;totes (no cria);Listado RD 139/2011;Aus (A2,2);
Podiceps cristatus;Ma i migrant arreu;Listado RD 139/2011;Berna (A3);
Podiceps nigricollis;totes (no cria);Listado RD 139/2011;Berna (A2);
Porphyrio porphyrio;Ma, Me;Listado RD 139/2011;Aus (A1), Berna (A2);
Porzana parva;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Porzana porzana;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);
Porzana pusilla;divagant;Listado RD 139/2011;Aus (A1), Berna (A2);
Prunella collaris;totes (no cria);Listado RD 139/2011;Berna (A2);
Prunella modularis;totes (no cria);Listado RD 139/2011;Berna (A2);
Ptyonoprogne rupestris;All islands;Listado RD 139/2011;Berna (A2);
Pyrrhocorax pyrrhocorax;hivern a Ma;Listado RD 139/2011;Aus (A1), Berna (A2);
Recurvirostra avosetta;Ma cria, totes;Listado RD 139/2011;Aus (A1), Berna (A2);
Regulus ignicapillus;All islands;Listado RD 139/2011;Berna (A2);
Regulus regulus;totes (no cria);Listado RD 139/2011;Berna (A2);
Remiz pendulinus;hivern a Ma;Listado RD 139/2011;Berna (A3);
Riparia riparia;totes (no cria);Listado RD 139/2011;Berna (A3);
Rissa tridactyla;totes (no cria);Listado RD 139/2011;Berna (A3);
Saxicola rubetra;totes (no cria);Listado RD 139/2011;Berna (A2);
Saxicola torquata;All islands;Listado RD 139/2011;Berna (A2);
Stercorarius parasiticus;divagant;Listado RD 139/2011;Berna (A3);
Stercorarius pomarinus;divagant;Listado RD 139/2011;Berna (A3);
Stercorarius skua;totes (no cria);Listado RD 139/2011;Berna (A3);
Sterna albifrons;Fo cria, totes;Listado RD 139/2011;Aus (A1), Berna (A2);
Sterna caspia;migrant;Listado RD 139/2011;Aus (A1), Berna (A2);
Sterna hirundo;Ma cria, totes;Listado RD 139/2011;Aus (A1), Berna (A2);
Sterna sandvicensis;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Sylvia atricapilla;All islands;Listado RD 139/2011;Berna (A2);
Sylvia borin;totes (no cria);Listado RD 139/2011;Berna (A2);
Sylvia cantillans;totes (no cria);Listado RD 139/2011;Berna (A2);
Sylvia communis;migrant;Listado RD 139/2011;Berna (A2);
Sylvia conspicillata;migrant;Listado RD 139/2011;Berna (A2);
Sylvia curruca;migrant;Listado RD 139/2011;Berna (A2);
Sylvia melanocephala;All islands;Listado RD 139/2011;Berna (A2);
Sylvia sarda (=balearica);All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Sylvia undata;Me;Listado RD 139/2011;Aus (A1), Berna (A2);
Tachybaptus ruficolis;Ma, Me;Listado RD 139/2011;Berna (A3);
Tadorna ferruginea;Ma cria, totes;Listado RD 139/2011;Berna (A2);
Tadorna tadorna;Ma, Ei;Listado RD 139/2011;Aus (A1), Berna (A2);
Tringa erythropus;totes (no cria);Listado RD 139/2011;Aus (A2,2);
Tringa glareola;totes (no cria);Listado RD 139/2011;Aus (A1), Berna (A2);
Tringa nebularia;totes (no cria);Listado RD 139/2011;Aus (A2,2);
Tringa ochropus;totes (no cria);Listado RD 139/2011;Berna (A2);
Tringa stagnatilis;totes (no cria);Listado RD 139/2011;Berna (A2);
Tringa totanus;Ma, Me;Listado RD 139/2011 Cat. Bal.;Aus (A2,2);
Troglodytes troglodytes;All islands;Listado RD 139/2011;Berna (A2);
Turdus torquatus;totes (no cria);Listado RD 139/2011;Berna (A3);
Tyto alba;All islands;Listado RD 139/2011;Berna (A3);
Upupa epops;All islands;Listado RD 139/2011;Berna (A2);
Uria aalge;Divagant;Listado RD 139/2011;Aus (A1);
Atelerix algirus;All islands;Listado RD 139/2011;Hàbitats (A4);
Barbastella barbastellus;Ma, Fo, Dr;Listado RD 139/2011;Hàbitats (A2), Berna (A2);
